[2016-12-14T14:25:07.429Z, 0.0]
[2016-12-14T14:25:08.429Z, 0.0]
[2016-12-14T14:25:09.431Z, 0.0]
[2016-12-14T14:25:10.432Z, 0.0]
[2016-12-14T14:25:11.429Z, 0.0]
[2016-12-14T14:25:12.43Z, 0.0]
[2016-12-14T14:25:13.43Z, 0.0]
[2016-12-14T14:25:14.431Z, 0.0]
[2016-12-14T14:25:15.431Z, 0.0]
[2016-12-14T14:25:16.433Z, 0.0]
[2016-12-14T14:25:17.434Z, 0.0]
[2016-12-14T14:25:18.43Z, 0.0]
[2016-12-14T14:25:19.431Z, 0.0]
[2016-12-14T14:25:20.432Z, 0.0]
[2016-12-14T14:25:21.433Z, 0.0]
[2016-12-14T14:25:22.429Z, 0.0]
[2016-12-14T14:25:23.43Z, 0.0]
[2016-12-14T14:25:24.431Z, 0.0]
[2016-12-14T14:25:25.432Z, 0.0]
[2016-12-14T14:25:26.434Z, 0.0]
[2016-12-14T14:25:27.43Z, 0.0]
[2016-12-14T14:25:28.432Z, 0.0]
[2016-12-14T14:25:29.433Z, 0.0]
[2016-12-14T14:25:30.43Z, 0.0]
[2016-12-14T14:25:31.431Z, 0.0]
[2016-12-14T14:25:32.433Z, 0.0]
[2016-12-14T14:25:33.435Z, 0.0]
[2016-12-14T14:25:34.436Z, 0.0]
[2016-12-14T14:25:35.433Z, 0.0]
[2016-12-14T14:25:36.434Z, 0.0]
[2016-12-14T14:25:37.436Z, 0.0]
[2016-12-14T14:25:38.433Z, 0.0]
[2016-12-14T14:25:39.435Z, 0.0]
[2016-12-14T14:25:40.436Z, 0.0]
[2016-12-14T14:25:41.432Z, 0.0]
[2016-12-14T14:25:42.434Z, 0.0]
[2016-12-14T14:25:43.435Z, 0.0]
[2016-12-14T14:25:44.432Z, 0.0]
[2016-12-14T14:25:45.432Z, 0.0]
[2016-12-14T14:25:46.434Z, 0.0]
[2016-12-14T14:25:47.437Z, 0.0]
[2016-12-14T14:25:48.433Z, 0.0]
[2016-12-14T14:25:49.434Z, 0.0]
[2016-12-14T14:25:50.436Z, 0.0]
[2016-12-14T14:25:51.443Z, 0.0]
[2016-12-14T14:25:52.438Z, 0.0]
[2016-12-14T14:25:53.439Z, 0.0]
[2016-12-14T14:25:54.441Z, 0.0]
[2016-12-14T14:25:55.437Z, 0.0]
[2016-12-14T14:25:56.438Z, 0.0]
[2016-12-14T14:25:57.441Z, 0.0]
[2016-12-14T14:25:58.439Z, 0.0]
[2016-12-14T14:25:59.438Z, 0.0]
[2016-12-14T14:26:00.439Z, 0.0]
[2016-12-14T14:26:01.44Z, 0.0]
[2016-12-14T14:26:02.442Z, 0.0]
[2016-12-14T14:26:03.439Z, 0.0]
[2016-12-14T14:26:04.44Z, 0.0]
[2016-12-14T14:26:05.44Z, 0.0]
[2016-12-14T14:26:06.443Z, 0.0]
[2016-12-14T14:26:07.444Z, 0.0]
[2016-12-14T14:26:08.441Z, 0.0]
[2016-12-14T14:26:09.442Z, 0.0]
[2016-12-14T14:26:10.442Z, 0.0]
[2016-12-14T14:26:11.444Z, 0.0]
[2016-12-14T14:26:12.441Z, 0.0]
[2016-12-14T14:26:13.441Z, 0.0]
[2016-12-14T14:26:14.443Z, 0.0]
[2016-12-14T14:26:15.444Z, 0.0]
[2016-12-14T14:26:16.44Z, 0.0]
[2016-12-14T14:26:17.442Z, 0.0]
[2016-12-14T14:26:18.444Z, 0.0]
[2016-12-14T14:26:19.441Z, 0.0]
[2016-12-14T14:26:20.442Z, 0.0]
[2016-12-14T14:26:21.444Z, 0.0]
[2016-12-14T14:26:22.441Z, 0.0]
[2016-12-14T14:26:23.441Z, 0.0]
[2016-12-14T14:26:24.442Z, 0.0]
[2016-12-14T14:26:25.443Z, 0.0]
[2016-12-14T14:26:26.444Z, 0.0]
[2016-12-14T14:26:27.446Z, 0.0]
[2016-12-14T14:26:28.449Z, 0.0]
[2016-12-14T14:26:29.443Z, 0.0]
[2016-12-14T14:26:30.445Z, 0.0]
[2016-12-14T14:26:31.446Z, 0.0]
[2016-12-14T14:26:32.456Z, 0.0]
[2016-12-14T14:26:33.447Z, 0.0]
[2016-12-14T14:26:34.457Z, 0.0]
[2016-12-14T14:26:35.451Z, 0.0]
[2016-12-14T14:26:36.453Z, 0.0]
[2016-12-14T14:26:37.454Z, 0.0]
[2016-12-14T14:26:38.455Z, 0.0]
[2016-12-14T14:26:39.455Z, 0.0]
[2016-12-14T14:26:40.456Z, 0.0]
[2016-12-14T14:26:41.452Z, 0.0]
[2016-12-14T14:26:42.453Z, 0.0]
[2016-12-14T14:26:43.454Z, 0.0]
[2016-12-14T14:26:44.455Z, 0.0]
[2016-12-14T14:26:45.451Z, 0.0]
[2016-12-14T14:26:46.451Z, 0.0]
[2016-12-14T14:26:47.454Z, 0.0]
[2016-12-14T14:26:48.454Z, 0.0]
[2016-12-14T14:26:49.454Z, 0.0]
[2016-12-14T14:26:50.455Z, 0.0]
[2016-12-14T14:26:51.456Z, 0.0]
[2016-12-14T14:26:52.453Z, 0.0]
[2016-12-14T14:26:53.453Z, 0.0]
[2016-12-14T14:26:54.454Z, 0.0]
[2016-12-14T14:26:55.455Z, 0.0]
[2016-12-14T14:26:56.451Z, 0.0]
[2016-12-14T14:26:57.452Z, 0.0]
[2016-12-14T14:26:58.453Z, 0.0]
[2016-12-14T14:26:59.454Z, 0.0]
[2016-12-14T14:27:00.456Z, 0.0]
[2016-12-14T14:27:01.452Z, 0.0]
[2016-12-14T14:27:02.453Z, 0.0]
[2016-12-14T14:27:03.453Z, 0.0]
[2016-12-14T14:27:04.455Z, 0.0]
[2016-12-14T14:27:05.45Z, 0.0]
[2016-12-14T14:27:06.451Z, 0.0]
[2016-12-14T14:27:07.452Z, 0.0]
[2016-12-14T14:27:08.453Z, 0.0]
[2016-12-14T14:27:09.454Z, 0.0]
[2016-12-14T14:27:10.45Z, 0.0]
[2016-12-14T14:27:11.456Z, 0.0]
[2016-12-14T14:27:12.451Z, 0.0]
[2016-12-14T14:27:13.452Z, 0.0]
[2016-12-14T14:27:14.452Z, 0.0]
[2016-12-14T14:27:15.454Z, 0.0]
[2016-12-14T14:27:16.451Z, 0.0]
[2016-12-14T14:27:17.452Z, 0.0]
[2016-12-14T14:27:18.453Z, 0.0]
[2016-12-14T14:27:19.454Z, 0.0]
[2016-12-14T14:27:20.451Z, 0.0]
[2016-12-14T14:27:21.452Z, 0.0]
[2016-12-14T14:27:22.453Z, 0.0]
[2016-12-14T14:27:23.454Z, 0.0]
[2016-12-14T14:27:24.45Z, 0.0]
[2016-12-14T14:27:25.451Z, 0.0]
[2016-12-14T14:27:26.453Z, 0.0]
[2016-12-14T14:27:27.454Z, 0.0]
[2016-12-14T14:27:28.45Z, 0.0]
[2016-12-14T14:27:29.455Z, 0.0]
[2016-12-14T14:27:30.451Z, 0.0]
[2016-12-14T14:27:31.453Z, 0.0]
[2016-12-14T14:27:32.453Z, 0.0]
[2016-12-14T14:27:33.451Z, 0.0]
[2016-12-14T14:27:34.451Z, 0.0]
[2016-12-14T14:27:35.452Z, 0.0]
[2016-12-14T14:27:36.454Z, 0.0]
[2016-12-14T14:27:37.453Z, 0.0]
[2016-12-14T14:27:38.454Z, 0.0]
[2016-12-14T14:27:39.45Z, 0.0]
[2016-12-14T14:27:40.452Z, 0.0]
[2016-12-14T14:27:41.453Z, 0.0]
[2016-12-14T14:27:42.454Z, 0.0]
[2016-12-14T14:27:43.45Z, 0.0]
[2016-12-14T14:27:44.45Z, 0.0]
[2016-12-14T14:27:45.452Z, 0.0]
[2016-12-14T14:27:46.453Z, 0.0]
[2016-12-14T14:27:47.45Z, 0.0]
[2016-12-14T14:27:48.451Z, 0.0]
[2016-12-14T14:27:49.453Z, 0.0]
[2016-12-14T14:27:50.454Z, 0.0]
[2016-12-14T14:27:51.455Z, 0.0]
[2016-12-14T14:27:52.451Z, 0.0]
[2016-12-14T14:27:53.453Z, 0.0]
[2016-12-14T14:27:54.453Z, 0.0]
[2016-12-14T14:27:55.454Z, 0.0]
[2016-12-14T14:27:56.45Z, 0.0]
[2016-12-14T14:27:57.452Z, 0.0]
[2016-12-14T14:27:58.452Z, 0.0]
[2016-12-14T14:27:59.453Z, 0.0]
[2016-12-14T14:28:00.454Z, 0.0]
[2016-12-14T14:28:01.449Z, 0.0]
[2016-12-14T14:28:02.451Z, 0.0]
[2016-12-14T14:28:03.452Z, 0.0]
[2016-12-14T14:28:04.452Z, 965.0]
[2016-12-14T14:28:05.453Z, 1061.0]
[2016-12-14T14:28:06.45Z, 1068.0]
[2016-12-14T14:28:07.451Z, 1062.0]
[2016-12-14T14:28:08.452Z, 1065.0]
[2016-12-14T14:28:09.453Z, 1062.0]
[2016-12-14T14:28:10.453Z, 1063.0]
[2016-12-14T14:28:11.454Z, 1067.0]
[2016-12-14T14:28:12.451Z, 1061.0]
[2016-12-14T14:28:13.452Z, 1061.0]
[2016-12-14T14:28:14.452Z, 1061.0]
[2016-12-14T14:28:15.454Z, 1057.0]
[2016-12-14T14:28:16.454Z, 1061.0]
[2016-12-14T14:28:17.45Z, 1060.0]
[2016-12-14T14:28:18.461Z, 1060.0]
[2016-12-14T14:28:19.457Z, 1060.0]
[2016-12-14T14:28:20.459Z, 1061.0]
[2016-12-14T14:28:21.459Z, 1060.0]
[2016-12-14T14:28:22.46Z, 1060.0]
[2016-12-14T14:28:23.457Z, 1061.0]
[2016-12-14T14:28:24.458Z, 1057.0]
[2016-12-14T14:28:25.458Z, 1062.0]
[2016-12-14T14:28:26.459Z, 1060.0]
[2016-12-14T14:28:27.456Z, 1062.0]
[2016-12-14T14:28:28.457Z, 1063.0]
[2016-12-14T14:28:29.458Z, 1057.0]
[2016-12-14T14:28:30.458Z, 1055.0]
[2016-12-14T14:28:31.46Z, 1062.0]
[2016-12-14T14:28:32.456Z, 1060.0]
[2016-12-14T14:28:33.456Z, 1061.0]
[2016-12-14T14:28:34.457Z, 1060.0]
[2016-12-14T14:28:35.458Z, 1058.0]
[2016-12-14T14:28:36.459Z, 1060.0]
[2016-12-14T14:28:37.456Z, 1057.0]
[2016-12-14T14:28:38.457Z, 1051.0]
[2016-12-14T14:28:39.458Z, 1056.0]
[2016-12-14T14:28:40.458Z, 1057.0]
[2016-12-14T14:28:41.459Z, 1056.0]
[2016-12-14T14:28:42.456Z, 1056.0]
[2016-12-14T14:28:43.46Z, 1054.0]
[2016-12-14T14:28:44.456Z, 1057.0]
[2016-12-14T14:28:45.458Z, 1061.0]
[2016-12-14T14:28:46.459Z, 1057.0]
[2016-12-14T14:28:47.46Z, 1054.0]
[2016-12-14T14:28:48.456Z, 1058.0]
[2016-12-14T14:28:49.457Z, 1058.0]
[2016-12-14T14:28:50.458Z, 1054.0]
[2016-12-14T14:28:51.458Z, 1056.0]
[2016-12-14T14:28:52.459Z, 1054.0]
[2016-12-14T14:28:53.459Z, 1059.0]
[2016-12-14T14:28:54.456Z, 1058.0]
[2016-12-14T14:28:55.456Z, 1054.0]
[2016-12-14T14:28:56.456Z, 1056.0]
[2016-12-14T14:28:57.457Z, 1059.0]
[2016-12-14T14:28:58.458Z, 1056.0]
[2016-12-14T14:28:59.459Z, 1057.0]
[2016-12-14T14:29:00.459Z, 1054.0]
[2016-12-14T14:29:01.46Z, 1060.0]
[2016-12-14T14:29:02.474Z, 1060.0]
[2016-12-14T14:29:03.47Z, 1057.0]
[2016-12-14T14:29:04.466Z, 1057.0]
[2016-12-14T14:29:05.467Z, 1059.0]
[2016-12-14T14:29:06.473Z, 478.0]
[2016-12-14T14:29:07.473Z, 0.0]
[2016-12-14T14:29:08.469Z, 0.0]
[2016-12-14T14:29:09.47Z, 0.0]
[2016-12-14T14:29:10.472Z, 0.0]
[2016-12-14T14:29:11.472Z, 0.0]
[2016-12-14T14:29:12.473Z, 0.0]
[2016-12-14T14:29:13.474Z, 0.0]
[2016-12-14T14:29:14.474Z, 0.0]
[2016-12-14T14:29:15.47Z, 0.0]
[2016-12-14T14:29:16.472Z, 0.0]
[2016-12-14T14:29:17.473Z, 0.0]
[2016-12-14T14:29:18.474Z, 0.0]
[2016-12-14T14:29:19.47Z, 0.0]
[2016-12-14T14:29:20.472Z, 0.0]
[2016-12-14T14:29:21.472Z, 0.0]
[2016-12-14T14:29:22.473Z, 0.0]
[2016-12-14T14:29:23.474Z, 0.0]
[2016-12-14T14:29:24.474Z, 0.0]
[2016-12-14T14:29:25.47Z, 0.0]
[2016-12-14T14:29:26.471Z, 0.0]
[2016-12-14T14:29:27.471Z, 0.0]
[2016-12-14T14:29:28.472Z, 0.0]
[2016-12-14T14:29:29.473Z, 0.0]
[2016-12-14T14:29:30.473Z, 0.0]
[2016-12-14T14:29:31.474Z, 0.0]
[2016-12-14T14:29:32.47Z, 0.0]
[2016-12-14T14:29:33.471Z, 0.0]
[2016-12-14T14:29:34.472Z, 0.0]
[2016-12-14T14:29:35.472Z, 0.0]
[2016-12-14T14:29:36.474Z, 0.0]
[2016-12-14T14:29:37.469Z, 0.0]
[2016-12-14T14:29:38.47Z, 0.0]
[2016-12-14T14:29:39.471Z, 0.0]
[2016-12-14T14:29:40.471Z, 0.0]
[2016-12-14T14:29:41.473Z, 0.0]
[2016-12-14T14:29:42.473Z, 0.0]
[2016-12-14T14:29:43.474Z, 0.0]
[2016-12-14T14:29:44.47Z, 0.0]
[2016-12-14T14:29:45.47Z, 0.0]
[2016-12-14T14:29:46.471Z, 0.0]
[2016-12-14T14:29:47.472Z, 0.0]
[2016-12-14T14:29:48.473Z, 0.0]
[2016-12-14T14:29:49.473Z, 0.0]
[2016-12-14T14:29:50.473Z, 0.0]
[2016-12-14T14:29:51.475Z, 0.0]
[2016-12-14T14:29:52.471Z, 0.0]
[2016-12-14T14:29:53.472Z, 0.0]
[2016-12-14T14:29:54.472Z, 0.0]
[2016-12-14T14:29:55.473Z, 0.0]
[2016-12-14T14:29:56.47Z, 0.0]
[2016-12-14T14:29:57.49Z, 0.0]
[2016-12-14T14:29:58.476Z, 0.0]
[2016-12-14T14:29:59.473Z, 0.0]
[2016-12-14T14:30:00.473Z, 0.0]
[2016-12-14T14:30:01.474Z, 0.0]
[2016-12-14T14:30:02.483Z, 0.0]
[2016-12-14T14:30:03.483Z, 0.0]
[2016-12-14T14:30:04.484Z, 0.0]
[2016-12-14T14:30:05.485Z, 0.0]
[2016-12-14T14:30:06.478Z, 0.0]
[2016-12-14T14:30:07.48Z, 0.0]
[2016-12-14T14:30:08.483Z, 0.0]
[2016-12-14T14:30:09.484Z, 0.0]
[2016-12-14T14:30:10.478Z, 0.0]
[2016-12-14T14:30:11.478Z, 0.0]
[2016-12-14T14:30:12.48Z, 0.0]
[2016-12-14T14:30:13.487Z, 0.0]
[2016-12-14T14:30:14.488Z, 0.0]
[2016-12-14T14:30:15.485Z, 0.0]
[2016-12-14T14:30:16.486Z, 0.0]
[2016-12-14T14:30:17.491Z, 0.0]
[2016-12-14T14:30:18.484Z, 0.0]
[2016-12-14T14:30:19.485Z, 0.0]
[2016-12-14T14:30:20.486Z, 0.0]
[2016-12-14T14:30:21.488Z, 0.0]
[2016-12-14T14:30:22.484Z, 0.0]
[2016-12-14T14:30:23.484Z, 0.0]
[2016-12-14T14:30:24.485Z, 0.0]
[2016-12-14T14:30:25.486Z, 0.0]
[2016-12-14T14:30:26.486Z, 0.0]
[2016-12-14T14:30:27.487Z, 0.0]
[2016-12-14T14:30:28.488Z, 0.0]
[2016-12-14T14:30:29.484Z, 0.0]
[2016-12-14T14:30:30.485Z, 0.0]
[2016-12-14T14:30:31.485Z, 0.0]
[2016-12-14T14:30:32.487Z, 0.0]
[2016-12-14T14:30:33.488Z, 0.0]
[2016-12-14T14:30:34.484Z, 0.0]
[2016-12-14T14:30:35.484Z, 0.0]
[2016-12-14T14:30:36.485Z, 0.0]
[2016-12-14T14:30:37.485Z, 0.0]
[2016-12-14T14:30:38.486Z, 0.0]
[2016-12-14T14:30:39.488Z, 0.0]
[2016-12-14T14:30:40.488Z, 0.0]
[2016-12-14T14:30:41.485Z, 0.0]
[2016-12-14T14:30:42.485Z, 0.0]
[2016-12-14T14:30:43.486Z, 0.0]
[2016-12-14T14:30:44.487Z, 0.0]
[2016-12-14T14:30:45.487Z, 0.0]
[2016-12-14T14:30:46.489Z, 0.0]
[2016-12-14T14:30:47.489Z, 0.0]
[2016-12-14T14:30:48.494Z, 0.0]
[2016-12-14T14:30:49.495Z, 0.0]
[2016-12-14T14:30:50.491Z, 0.0]
[2016-12-14T14:30:51.491Z, 0.0]
[2016-12-14T14:30:52.491Z, 0.0]
[2016-12-14T14:30:53.492Z, 0.0]
[2016-12-14T14:30:54.493Z, 0.0]
[2016-12-14T14:30:55.494Z, 0.0]
[2016-12-14T14:30:56.495Z, 0.0]
[2016-12-14T14:30:57.491Z, 0.0]
[2016-12-14T14:30:58.49Z, 0.0]
[2016-12-14T14:30:59.492Z, 0.0]
[2016-12-14T14:31:00.492Z, 0.0]
[2016-12-14T14:31:01.493Z, 0.0]
[2016-12-14T14:31:02.494Z, 0.0]
[2016-12-14T14:31:03.496Z, 0.0]
[2016-12-14T14:31:04.491Z, 0.0]
[2016-12-14T14:31:05.492Z, 0.0]
[2016-12-14T14:31:06.494Z, 0.0]
[2016-12-14T14:31:07.495Z, 0.0]
[2016-12-14T14:31:08.491Z, 0.0]
[2016-12-14T14:31:09.492Z, 0.0]
[2016-12-14T14:31:10.492Z, 0.0]
[2016-12-14T14:31:11.493Z, 0.0]
[2016-12-14T14:31:12.494Z, 0.0]
[2016-12-14T14:31:13.491Z, 0.0]
[2016-12-14T14:31:14.496Z, 0.0]
[2016-12-14T14:31:15.499Z, 0.0]
[2016-12-14T14:31:16.492Z, 0.0]
[2016-12-14T14:31:17.493Z, 0.0]
[2016-12-14T14:31:18.501Z, 0.0]
[2016-12-14T14:31:19.494Z, 0.0]
[2016-12-14T14:31:20.495Z, 0.0]
[2016-12-14T14:31:21.497Z, 0.0]
[2016-12-14T14:31:22.499Z, 0.0]
[2016-12-14T14:31:23.5Z, 0.0]
[2016-12-14T14:31:24.5Z, 0.0]
[2016-12-14T14:31:25.501Z, 0.0]
[2016-12-14T14:31:26.502Z, 0.0]
[2016-12-14T14:31:27.496Z, 0.0]
