[2017-03-13T16:40:17Z, 769.0]
[2017-03-13T16:40:18Z, 770.0]
[2017-03-13T16:40:18.999Z, 770.0]
[2017-03-13T16:40:19.999Z, 769.0]
[2017-03-13T16:40:21.003Z, 770.0]
[2017-03-13T16:40:22.003Z, 770.0]
[2017-03-13T16:40:23.002Z, 769.0]
[2017-03-13T16:40:24.002Z, 769.0]
[2017-03-13T16:40:25.002Z, 769.0]
[2017-03-13T16:40:26.002Z, 768.0]
[2017-03-13T16:40:27.008Z, 769.0]
[2017-03-13T16:40:28.007Z, 769.0]
[2017-03-13T16:40:29.007Z, 769.0]
[2017-03-13T16:40:30.007Z, 769.0]
[2017-03-13T16:40:31.005Z, 769.0]
[2017-03-13T16:40:32.01Z, 769.0]
[2017-03-13T16:40:33.008Z, 770.0]
[2017-03-13T16:40:34.007Z, 771.0]
[2017-03-13T16:40:35.012Z, 770.0]
[2017-03-13T16:40:36.01Z, 770.0]
[2017-03-13T16:40:37.01Z, 770.0]
[2017-03-13T16:40:38.009Z, 769.0]
[2017-03-13T16:40:39.01Z, 770.0]
[2017-03-13T16:40:40.014Z, 779.0]
[2017-03-13T16:40:41.012Z, 780.0]
[2017-03-13T16:40:42.012Z, 811.0]
[2017-03-13T16:40:43.018Z, 810.0]
[2017-03-13T16:40:44.018Z, 781.0]
[2017-03-13T16:40:45.016Z, 1017.0]
[2017-03-13T16:40:46.017Z, 1025.0]
[2017-03-13T16:40:47.018Z, 1027.0]
[2017-03-13T16:40:48.017Z, 1027.0]
[2017-03-13T16:40:49.017Z, 1028.0]
[2017-03-13T16:40:50.018Z, 1027.0]
[2017-03-13T16:40:51.017Z, 1026.0]
[2017-03-13T16:40:52.023Z, 1028.0]
[2017-03-13T16:40:53.022Z, 1037.0]
[2017-03-13T16:40:54.022Z, 1040.0]
[2017-03-13T16:40:55.021Z, 1034.0]
[2017-03-13T16:40:56.02Z, 1033.0]
[2017-03-13T16:40:57.021Z, 1034.0]
[2017-03-13T16:40:58.025Z, 1041.0]
[2017-03-13T16:40:59.025Z, 1039.0]
[2017-03-13T16:41:00.025Z, 1040.0]
[2017-03-13T16:41:01.024Z, 1048.0]
[2017-03-13T16:41:02.024Z, 1040.0]
[2017-03-13T16:41:03.03Z, 1039.0]
[2017-03-13T16:41:04.031Z, 1037.0]
[2017-03-13T16:41:05.031Z, 1035.0]
[2017-03-13T16:41:06.03Z, 1032.0]
[2017-03-13T16:41:07.03Z, 1043.0]
[2017-03-13T16:41:08.03Z, 1040.0]
[2017-03-13T16:41:09.029Z, 1033.0]
[2017-03-13T16:41:10.029Z, 1036.0]
[2017-03-13T16:41:11.032Z, 1047.0]
[2017-03-13T16:41:12.033Z, 1034.0]
[2017-03-13T16:41:13.032Z, 1036.0]
[2017-03-13T16:41:14.032Z, 1028.0]
[2017-03-13T16:41:15.032Z, 1027.0]
[2017-03-13T16:41:16.035Z, 1032.0]
[2017-03-13T16:41:17.035Z, 1028.0]
[2017-03-13T16:41:18.034Z, 1026.0]
[2017-03-13T16:41:19.035Z, 1028.0]
[2017-03-13T16:41:20.038Z, 1028.0]
[2017-03-13T16:41:21.037Z, 1027.0]
[2017-03-13T16:41:22.037Z, 1027.0]
[2017-03-13T16:41:23.037Z, 1025.0]
[2017-03-13T16:41:24.045Z, 1026.0]
[2017-03-13T16:41:25.044Z, 1027.0]
[2017-03-13T16:41:26.043Z, 1027.0]
[2017-03-13T16:41:27.042Z, 1027.0]
[2017-03-13T16:41:28.041Z, 1027.0]
[2017-03-13T16:41:29.042Z, 1027.0]
[2017-03-13T16:41:30.042Z, 1027.0]
[2017-03-13T16:41:31.041Z, 1026.0]
[2017-03-13T16:41:32.045Z, 1027.0]
[2017-03-13T16:41:33.043Z, 1026.0]
[2017-03-13T16:41:34.043Z, 1025.0]
[2017-03-13T16:41:35.048Z, 1025.0]
[2017-03-13T16:41:36.047Z, 1026.0]
[2017-03-13T16:41:37.047Z, 1026.0]
[2017-03-13T16:41:38.046Z, 1026.0]
[2017-03-13T16:41:39.047Z, 1027.0]
[2017-03-13T16:41:40.052Z, 1029.0]
[2017-03-13T16:41:41.051Z, 1026.0]
[2017-03-13T16:41:42.053Z, 1027.0]
[2017-03-13T16:41:43.053Z, 1029.0]
[2017-03-13T16:41:44.052Z, 1026.0]
[2017-03-13T16:41:45.052Z, 1024.0]
[2017-03-13T16:41:46.051Z, 1026.0]
[2017-03-13T16:41:47.052Z, 1025.0]
[2017-03-13T16:41:48.051Z, 1024.0]
[2017-03-13T16:41:49.056Z, 1026.0]
[2017-03-13T16:41:50.056Z, 1026.0]
[2017-03-13T16:41:51.055Z, 1024.0]
[2017-03-13T16:41:52.055Z, 1025.0]
[2017-03-13T16:41:53.055Z, 1024.0]
[2017-03-13T16:41:54.055Z, 1024.0]
[2017-03-13T16:41:55.056Z, 1025.0]
[2017-03-13T16:41:56.056Z, 1026.0]
[2017-03-13T16:41:57.061Z, 1025.0]
[2017-03-13T16:41:58.06Z, 1025.0]
[2017-03-13T16:41:59.06Z, 1026.0]
[2017-03-13T16:42:00.06Z, 1028.0]
[2017-03-13T16:42:01.059Z, 1027.0]
[2017-03-13T16:42:02.067Z, 1026.0]
[2017-03-13T16:42:03.066Z, 1027.0]
[2017-03-13T16:42:04.066Z, 1027.0]
[2017-03-13T16:42:05.066Z, 1027.0]
[2017-03-13T16:42:06.064Z, 1027.0]
