[2017-03-13T16:39:08.958Z, 42.0]
[2017-03-13T16:39:09.959Z, 42.0]
[2017-03-13T16:39:10.957Z, 42.0]
[2017-03-13T16:39:11.959Z, 45.0]
[2017-03-13T16:39:12.958Z, 44.0]
[2017-03-13T16:39:13.963Z, 45.0]
[2017-03-13T16:39:14.963Z, 43.0]
[2017-03-13T16:39:15.962Z, 43.0]
[2017-03-13T16:39:16.962Z, 46.0]
[2017-03-13T16:39:17.961Z, 45.0]
[2017-03-13T16:39:18.966Z, 43.0]
[2017-03-13T16:39:19.966Z, 44.0]
[2017-03-13T16:39:20.964Z, 44.0]
[2017-03-13T16:39:21.965Z, 44.0]
[2017-03-13T16:39:22.965Z, 43.0]
[2017-03-13T16:39:23.965Z, 42.0]
[2017-03-13T16:39:24.966Z, 42.0]
[2017-03-13T16:39:25.969Z, 43.0]
[2017-03-13T16:39:26.969Z, 44.0]
[2017-03-13T16:39:27.97Z, 44.0]
[2017-03-13T16:39:28.97Z, 43.0]
[2017-03-13T16:39:29.969Z, 42.0]
[2017-03-13T16:39:30.971Z, 46.0]
[2017-03-13T16:39:31.972Z, 46.0]
[2017-03-13T16:39:32.971Z, 46.0]
[2017-03-13T16:39:33.971Z, 45.0]
[2017-03-13T16:39:34.976Z, 44.0]
[2017-03-13T16:39:35.975Z, 44.0]
[2017-03-13T16:39:36.975Z, 44.0]
[2017-03-13T16:39:37.975Z, 44.0]
[2017-03-13T16:39:38.974Z, 43.0]
[2017-03-13T16:39:39.98Z, 44.0]
[2017-03-13T16:39:40.98Z, 44.0]
[2017-03-13T16:39:41.98Z, 43.0]
[2017-03-13T16:39:42.979Z, 42.0]
[2017-03-13T16:39:43.979Z, 42.0]
[2017-03-13T16:39:44.979Z, 42.0]
[2017-03-13T16:39:45.986Z, 42.0]
[2017-03-13T16:39:46.985Z, 42.0]
[2017-03-13T16:39:47.984Z, 42.0]
[2017-03-13T16:39:48.985Z, 42.0]
[2017-03-13T16:39:49.985Z, 42.0]
[2017-03-13T16:39:50.984Z, 42.0]
[2017-03-13T16:39:51.983Z, 42.0]
[2017-03-13T16:39:52.982Z, 42.0]
[2017-03-13T16:39:53.987Z, 42.0]
[2017-03-13T16:39:54.986Z, 42.0]
[2017-03-13T16:39:55.985Z, 42.0]
[2017-03-13T16:39:56.986Z, 42.0]
[2017-03-13T16:39:57.987Z, 42.0]
[2017-03-13T16:39:58.987Z, 42.0]
[2017-03-13T16:39:59.987Z, 42.0]
[2017-03-13T16:40:00.987Z, 42.0]
[2017-03-13T16:40:01.987Z, 42.0]
[2017-03-13T16:40:02.991Z, 42.0]
[2017-03-13T16:40:03.991Z, 42.0]
[2017-03-13T16:40:04.991Z, 42.0]
[2017-03-13T16:40:05.99Z, 42.0]
[2017-03-13T16:40:06.998Z, 42.0]
[2017-03-13T16:40:07.996Z, 42.0]
[2017-03-13T16:40:08.995Z, 42.0]
[2017-03-13T16:40:09.996Z, 42.0]
[2017-03-13T16:40:10.994Z, 42.0]
[2017-03-13T16:40:11.995Z, 42.0]
[2017-03-13T16:40:12.994Z, 42.0]
[2017-03-13T16:40:13.998Z, 42.0]
[2017-03-13T16:40:14.997Z, 42.0]
[2017-03-13T16:40:15.996Z, 42.0]
[2017-03-13T16:40:17Z, 42.0]
[2017-03-13T16:40:18Z, 42.0]
[2017-03-13T16:40:18.999Z, 42.0]
[2017-03-13T16:40:19.999Z, 42.0]
[2017-03-13T16:40:21.003Z, 42.0]
[2017-03-13T16:40:22.003Z, 42.0]
[2017-03-13T16:40:23.002Z, 42.0]
[2017-03-13T16:40:24.002Z, 42.0]
[2017-03-13T16:40:25.002Z, 42.0]
[2017-03-13T16:40:26.002Z, 42.0]
[2017-03-13T16:40:27.008Z, 42.0]
[2017-03-13T16:40:28.007Z, 42.0]
[2017-03-13T16:40:29.007Z, 42.0]
[2017-03-13T16:40:30.007Z, 42.0]
[2017-03-13T16:40:31.005Z, 42.0]
[2017-03-13T16:40:32.01Z, 42.0]
[2017-03-13T16:40:33.008Z, 42.0]
[2017-03-13T16:40:34.007Z, 42.0]
[2017-03-13T16:40:35.012Z, 42.0]
[2017-03-13T16:40:36.01Z, 42.0]
[2017-03-13T16:40:37.01Z, 42.0]
[2017-03-13T16:40:38.009Z, 42.0]
[2017-03-13T16:40:39.01Z, 42.0]
[2017-03-13T16:40:40.014Z, 44.0]
[2017-03-13T16:40:41.012Z, 44.0]
[2017-03-13T16:40:42.012Z, 48.0]
[2017-03-13T16:40:43.018Z, 47.0]
[2017-03-13T16:40:44.018Z, 44.0]
[2017-03-13T16:40:45.016Z, 43.0]
[2017-03-13T16:40:46.017Z, 43.0]
[2017-03-13T16:40:47.018Z, 43.0]
[2017-03-13T16:40:48.017Z, 43.0]
[2017-03-13T16:40:49.017Z, 43.0]
[2017-03-13T16:40:50.018Z, 43.0]
[2017-03-13T16:40:51.017Z, 43.0]
[2017-03-13T16:40:52.023Z, 43.0]
[2017-03-13T16:40:53.022Z, 45.0]
[2017-03-13T16:40:54.022Z, 45.0]
[2017-03-13T16:40:55.021Z, 44.0]
[2017-03-13T16:40:56.02Z, 44.0]
[2017-03-13T16:40:57.021Z, 44.0]
[2017-03-13T16:40:58.025Z, 46.0]
[2017-03-13T16:40:59.025Z, 45.0]
[2017-03-13T16:41:00.025Z, 45.0]
[2017-03-13T16:41:01.024Z, 46.0]
[2017-03-13T16:41:02.024Z, 45.0]
[2017-03-13T16:41:03.03Z, 45.0]
[2017-03-13T16:41:04.031Z, 45.0]
[2017-03-13T16:41:05.031Z, 44.0]
[2017-03-13T16:41:06.03Z, 44.0]
[2017-03-13T16:41:07.03Z, 44.0]
[2017-03-13T16:41:08.03Z, 44.0]
[2017-03-13T16:41:09.029Z, 44.0]
[2017-03-13T16:41:10.029Z, 44.0]
[2017-03-13T16:41:11.032Z, 45.0]
[2017-03-13T16:41:12.033Z, 44.0]
[2017-03-13T16:41:13.032Z, 44.0]
[2017-03-13T16:41:14.032Z, 43.0]
[2017-03-13T16:41:15.032Z, 43.0]
[2017-03-13T16:41:16.035Z, 43.0]
[2017-03-13T16:41:17.035Z, 43.0]
[2017-03-13T16:41:18.034Z, 43.0]
[2017-03-13T16:41:19.035Z, 43.0]
[2017-03-13T16:41:20.038Z, 43.0]
[2017-03-13T16:41:21.037Z, 43.0]
[2017-03-13T16:41:22.037Z, 43.0]
[2017-03-13T16:41:23.037Z, 43.0]
[2017-03-13T16:41:24.045Z, 43.0]
[2017-03-13T16:41:25.044Z, 43.0]
[2017-03-13T16:41:26.043Z, 43.0]
[2017-03-13T16:41:27.042Z, 43.0]
[2017-03-13T16:41:28.041Z, 43.0]
[2017-03-13T16:41:29.042Z, 43.0]
[2017-03-13T16:41:30.042Z, 43.0]
[2017-03-13T16:41:31.041Z, 43.0]
[2017-03-13T16:41:32.045Z, 43.0]
[2017-03-13T16:41:33.043Z, 43.0]
[2017-03-13T16:41:34.043Z, 43.0]
[2017-03-13T16:41:35.048Z, 43.0]
[2017-03-13T16:41:36.047Z, 43.0]
[2017-03-13T16:41:37.047Z, 43.0]
[2017-03-13T16:41:38.046Z, 43.0]
[2017-03-13T16:41:39.047Z, 43.0]
[2017-03-13T16:41:40.052Z, 43.0]
[2017-03-13T16:41:41.051Z, 43.0]
[2017-03-13T16:41:42.053Z, 43.0]
[2017-03-13T16:41:43.053Z, 43.0]
[2017-03-13T16:41:44.052Z, 43.0]
[2017-03-13T16:41:45.052Z, 43.0]
[2017-03-13T16:41:46.051Z, 43.0]
[2017-03-13T16:41:47.052Z, 43.0]
[2017-03-13T16:41:48.051Z, 43.0]
[2017-03-13T16:41:49.056Z, 43.0]
[2017-03-13T16:41:50.056Z, 43.0]
[2017-03-13T16:41:51.055Z, 43.0]
[2017-03-13T16:41:52.055Z, 43.0]
[2017-03-13T16:41:53.055Z, 43.0]
[2017-03-13T16:41:54.055Z, 43.0]
[2017-03-13T16:41:55.056Z, 43.0]
[2017-03-13T16:41:56.056Z, 43.0]
[2017-03-13T16:41:57.061Z, 43.0]
[2017-03-13T16:41:58.06Z, 43.0]
[2017-03-13T16:41:59.06Z, 43.0]
[2017-03-13T16:42:00.06Z, 43.0]
[2017-03-13T16:42:01.059Z, 43.0]
[2017-03-13T16:42:02.067Z, 43.0]
[2017-03-13T16:42:03.066Z, 43.0]
[2017-03-13T16:42:04.066Z, 43.0]
[2017-03-13T16:42:05.066Z, 43.0]
[2017-03-13T16:42:06.064Z, 43.0]
[2017-03-13T16:42:07.064Z, 43.0]
[2017-03-13T16:42:08.064Z, 43.0]
[2017-03-13T16:42:09.068Z, 43.0]
[2017-03-13T16:42:10.068Z, 43.0]
[2017-03-13T16:42:11.067Z, 43.0]
[2017-03-13T16:42:12.067Z, 43.0]
[2017-03-13T16:42:13.066Z, 43.0]
[2017-03-13T16:42:14.07Z, 43.0]
[2017-03-13T16:42:15.071Z, 43.0]
[2017-03-13T16:42:16.069Z, 43.0]
[2017-03-13T16:42:17.069Z, 43.0]
[2017-03-13T16:42:18.068Z, 43.0]
[2017-03-13T16:42:19.076Z, 43.0]
[2017-03-13T16:42:20.077Z, 43.0]
[2017-03-13T16:42:21.076Z, 43.0]
[2017-03-13T16:42:22.076Z, 43.0]
[2017-03-13T16:42:23.074Z, 43.0]
[2017-03-13T16:42:24.074Z, 43.0]
[2017-03-13T16:42:25.079Z, 44.0]
[2017-03-13T16:42:26.078Z, 43.0]
[2017-03-13T16:42:27.078Z, 43.0]
[2017-03-13T16:42:28.077Z, 43.0]
[2017-03-13T16:42:29.077Z, 43.0]
[2017-03-13T16:42:30.081Z, 43.0]
[2017-03-13T16:42:31.079Z, 43.0]
[2017-03-13T16:42:32.079Z, 43.0]
[2017-03-13T16:42:33.083Z, 43.0]
[2017-03-13T16:42:34.083Z, 43.0]
[2017-03-13T16:42:35.083Z, 43.0]
[2017-03-13T16:42:36.082Z, 43.0]
[2017-03-13T16:42:37.082Z, 43.0]
[2017-03-13T16:42:38.081Z, 43.0]
[2017-03-13T16:42:39.088Z, 43.0]
[2017-03-13T16:42:40.088Z, 43.0]
[2017-03-13T16:42:41.087Z, 43.0]
[2017-03-13T16:42:42.087Z, 43.0]
[2017-03-13T16:42:43.087Z, 43.0]
[2017-03-13T16:42:44.087Z, 43.0]
[2017-03-13T16:42:45.087Z, 43.0]
[2017-03-13T16:42:46.09Z, 43.0]
[2017-03-13T16:42:47.09Z, 43.0]
[2017-03-13T16:42:48.089Z, 43.0]
[2017-03-13T16:42:49.089Z, 43.0]
[2017-03-13T16:42:50.094Z, 43.0]
[2017-03-13T16:42:51.092Z, 43.0]
[2017-03-13T16:42:52.093Z, 43.0]
[2017-03-13T16:42:53.092Z, 43.0]
[2017-03-13T16:42:54.092Z, 43.0]
[2017-03-13T16:42:55.093Z, 43.0]
[2017-03-13T16:42:56.095Z, 43.0]
[2017-03-13T16:42:57.095Z, 43.0]
[2017-03-13T16:42:58.095Z, 43.0]
[2017-03-13T16:42:59.095Z, 43.0]
[2017-03-13T16:43:00.097Z, 43.0]
[2017-03-13T16:43:01.098Z, 43.0]
[2017-03-13T16:43:02.098Z, 43.0]
[2017-03-13T16:43:03.097Z, 43.0]
[2017-03-13T16:43:04.097Z, 43.0]
[2017-03-13T16:43:05.103Z, 43.0]
[2017-03-13T16:43:06.101Z, 43.0]
[2017-03-13T16:43:07.102Z, 43.0]
[2017-03-13T16:43:08.1Z, 43.0]
[2017-03-13T16:43:09.1Z, 43.0]
[2017-03-13T16:43:10.104Z, 43.0]
[2017-03-13T16:43:11.103Z, 43.0]
[2017-03-13T16:43:12.103Z, 43.0]
[2017-03-13T16:43:13.102Z, 43.0]
[2017-03-13T16:43:14.107Z, 43.0]
[2017-03-13T16:43:15.107Z, 43.0]
[2017-03-13T16:43:16.106Z, 43.0]
[2017-03-13T16:43:17.106Z, 43.0]
[2017-03-13T16:43:18.105Z, 43.0]
[2017-03-13T16:43:19.107Z, 43.0]
[2017-03-13T16:43:20.108Z, 43.0]
[2017-03-13T16:43:21.108Z, 43.0]
[2017-03-13T16:43:22.109Z, 43.0]
[2017-03-13T16:43:23.112Z, 43.0]
[2017-03-13T16:43:24.112Z, 43.0]
[2017-03-13T16:43:25.112Z, 43.0]
[2017-03-13T16:43:26.11Z, 43.0]
[2017-03-13T16:43:27.115Z, 43.0]
[2017-03-13T16:43:28.113Z, 43.0]
[2017-03-13T16:43:29.113Z, 43.0]
[2017-03-13T16:43:30.113Z, 43.0]
[2017-03-13T16:43:31.117Z, 43.0]
[2017-03-13T16:43:32.117Z, 43.0]
[2017-03-13T16:43:33.116Z, 43.0]
[2017-03-13T16:43:34.116Z, 43.0]
[2017-03-13T16:43:35.123Z, 43.0]
[2017-03-13T16:43:36.123Z, 43.0]
[2017-03-13T16:43:37.123Z, 43.0]
[2017-03-13T16:43:38.123Z, 43.0]
[2017-03-13T16:43:39.123Z, 43.0]
[2017-03-13T16:43:40.123Z, 43.0]
[2017-03-13T16:43:41.122Z, 43.0]
[2017-03-13T16:43:42.123Z, 43.0]
[2017-03-13T16:43:43.123Z, 43.0]
[2017-03-13T16:43:44.127Z, 43.0]
