name,time,M1_CURRENT_FEEDRATE,S1.ActualAcceleration,S1.ActualPosition,S1.ActualVelocity,S1.CommandAcceleration,S1.CommandPosition,S1.CommandVelocity,S1.CurrentCommand,S1.CurrentFeedback,S1.CurrentReference,S1.DCBusVoltage,S1.LoadObserverTorqueEstimate,S1.OutputCurrent,S1.OutputPower,S1.OutputVoltage,S1.SystemInertia,S1.TorqueLowPassFilterBandwidthEstimate,S1.TorqueReference,X1.ActualAcceleration,X1.ActualPosition,X1.ActualVelocity,X1.CommandAcceleration,X1.CommandPosition,X1.CommandVelocity,X1.CurrentCommand,X1.CurrentFeedback,X1.CurrentReference,X1.DCBusVoltage,X1.LoadObserverTorqueEstimate,X1.OutputCurrent,X1.OutputPower,X1.OutputVoltage,X1.TorqueLowPassFilterBandwidthEstimate,X1.TorqueReference,Y1.ActualAcceleration,Y1.ActualPosition,Y1.ActualVelocity,Y1.CommandAcceleration,Y1.CommandPosition,Y1.CommandVelocity,Y1.CurrentCommand,Y1.CurrentFeedback,Y1.CurrentReference,Y1.DCBusVoltage,Y1.LoadObserverTorqueEstimate,Y1.OutputCurrent,Y1.OutputPower,Y1.OutputVoltage,Y1.TorqueLowPassFilterBandwidthEstimate,Y1.TorqueReference,Z1.ActualAcceleration,Z1.ActualPosition,Z1.ActualVelocity,Z1.CommandAcceleration,Z1.CommandPosition,Z1.CommandVelocity,Z1.CurrentCommand,Z1.CurrentFeedback,Z1.CurrentReference,Z1.DCBusVoltage,Z1.LoadObserverTorqueEstimate,Z1.OutputCurrent,Z1.OutputPower,Z1.OutputVoltage,Z1.TorqueLowPassFilterBandwidthEstimate,Z1.TorqueReference
Timestamp,2017-07-25T20:33:00.37Z,50,-11.625,-2042.572,23.32325,0,-2042.378,23.33333,0,18.45196,0,320.8285,0,0.688492,0.05757929,56.94026,0.4636263,0,0,-12.5,128.8271,-0.025,0,128.8271,0,0,-0.2165451,0,325.1545,0,0.02547035,3.119287e-06,1.976956,0,0,-12.5,111.3681,-0.025,0,111.368,0,0,1.889856,0,323.8628,0,0.04144351,1.899569e-05,2.039395,0,0,6.25,24.3523,-25.075,0,24.1525,-25,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:33:00.569Z,50,-1.8125,-2037.905,23.33975,0,-2037.711,23.33333,0,17.10754,0,320.5349,0,0.7163664,0.06090583,56.52087,0.4636263,0,0,0,128.8271,0,0,128.8271,0,0,0.4905849,0,325.0722,0,0.02789772,5.957766e-06,1.069893,0,0,0,111.3681,0,0,111.368,0,0,1.967684,0,323.6354,0,0.04576148,1.94839e-05,2.041016,0,0,-6.25,19.3526,-25.05,0,19.1525,-25,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:33:00.769Z,50,-4.4375,-2033.238,23.32775,0,-2033.044,23.33333,0,17.75274,0,321.0596,0,0.688255,0.05775569,54.34554,0.4636263,0,0,-6.25,128.827,-0.025,0,128.8271,0,0,0.8822613,0,325.1775,0,0.02489254,-1.865844e-06,1.313385,0,0,0,111.3681,0,0,111.368,0,0,1.589356,0,323.8605,0,0.04311721,1.242003e-05,1.57079,0,0,6.25,14.3523,-25,0,14.1525,-25,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:33:00.871Z,50,-10.875,-2030.905,23.2685,0,-2030.711,23.33333,0,18.5631,0,320.1988,0,0.8328921,0.07036244,58.76926,0.4636263,0,0,0,128.8271,0,0,128.8271,0,0,0.9171178,0,325.4274,0,0.02170541,0,0.9698058,0,0,12.5,111.3681,0.025,0,111.368,0,0,0.9332305,0,323.7298,0,0.0421146,1.866362e-05,2.750051,0,0,99.99999,11.8515,-24.975,0,11.6525,-25,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:33:01.07Z,50,-5.4375,-2026.238,23.29475,0,-2026.044,23.33333,0,19.97211,0,320.6251,0,0.7698851,0.06462783,56.45959,0.4636263,0,0,0,128.8271,0,0,128.8271,0,0,-0.535502,0,325.0746,0,0.02023498,2.993894e-06,2.269003,0,0,6.25,111.3681,0,0,111.368,0,0,1.099628,0,323.938,0,0.0426808,1.848418e-05,2.698457,0,0,31.25,6.8521,-25,0,6.652499,-25,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:33:01.397Z,50,-2.0625,-2018.678,23.34525,0,-2018.484,23.33333,0,15.72406,0,320.8098,0,0.6761689,0.0569473,58.32584,0.4636263,0,0,-18.75,128.827,-0.05,0,128.8271,0,0,1.024102,0,324.3108,0,0.0195158,0,2.189591,0,0,68.74999,112.8558,25.175,0,113.0555,25,0,6.826157,0,322.0938,0,0.1512937,0.008062123,39.41407,0,0,0,1.0001,0.025,0,1,0,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:33:01.497Z,50,20.3125,-2016.345,23.34225,0,-2016.151,23.33333,0,18.73067,0,320.1908,0,0.7476056,0.06302621,56.55976,0.4636263,0,0,-18.75,128.827,-0.05,0,128.8271,0,0,1.665145,0,324.4752,0,0.02767827,1.960853e-06,5.091294,0,0,12.5,115.3553,24.975,0,115.5555,25,0,9.309106,0,321.7407,0,0.1719175,0.009136012,38.25175,0,0,0,1.0002,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:33:01.9Z,50,12.3125,-2006.919,23.35875,0,-2006.724,23.33333,0,15.51855,0,322.8066,0,0.7691778,0.06474636,57.61192,0.4636263,0,0,-31.25,136.6141,24.725,0,136.8146,25,0,8.622116,0,324.2517,0,0.1397448,0.007310439,40.51788,0,0,-25,116.6499,-0.05,0,116.6501,0,0,-1.247528,0,323.4128,0,0.02304272,-2.855084e-06,2.092286,0,0,-6.25,1,-0.025,0,1,0,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:33:01.998Z,50,1.875,-2004.585,23.38625,0,-2004.391,23.33333,0,15.67342,0,323.1722,0,0.6021231,0.0505729,56.87032,0.4636263,0,0,-12.5,139.115,25.05,0,139.3146,25,0,6.193912,0,324.3307,0,0.1145805,0.006001716,38.85073,0,0,-18.75,116.6499,-0.05,0,116.6501,0,0,-0.8029366,0,323.3693,0,0.02853413,-9.49576e-06,2.943833,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:33:02.098Z,50,-17.6875,-2002.251,23.34025,-9.536742e-07,-2002.058,23.33333,0,15.07652,0,323.4852,0,0.6553767,0.05562817,56.823,0.4636263,0,0,362.5,141.1055,0.9999999,0,141.1021,0,0,4.528935,0,325.201,0,0.08701961,0.0001440106,11.57658,0,0,-25,116.6499,-0.05,0,116.6501,0,0,-0.7341491,0,323.7394,0,0.02423998,-2.740592e-06,2.750953,0,0,-6.25,1.0001,0,0,1,0,0,0,0,0,0,0,0,0,0,0
